step,loss_total,loss_dsm,loss_sym,loss_loop,loss_loop_multi,loss_cycle,loss_match,grad_norm_mean,grad_norm_max,nan_count,step_time_ms,imgs_per_sec,vram_peak_mb
1,12.536153793334961,12.536153793334961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.96305400040001,29288.05933223924,0.0
50,10.301280975341797,10.301280975341797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27.051904005929828,37853.15812800228,0.0
100,7.110692024230957,7.110692024230957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.94703499582829,38000.47018748174,0.0
150,6.675956726074219,6.675956726074219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.0140380008379,44494.58195744345,0.0
200,6.200415134429932,6.200415134429932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21.57677600189345,47458.434008405144,0.0
250,4.385079383850098,4.385079383850098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.692527996900026,43220.37733305547,0.0
300,2.6529228687286377,2.6529228687286377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18.80305600207066,54459.232578323084,0.0
