step,loss_total,loss_dsm,loss_sym,loss_loop,loss_loop_multi,loss_cycle,loss_match,grad_norm_mean,grad_norm_max,nan_count,step_time_ms,imgs_per_sec,vram_peak_mb
1,12.536153793334961,12.536153793334961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,41.88550900289556,24447.59594372389,0.0
2,11.751131057739258,11.751131057739258,0.0,4.841876677375012e-09,4.841876677375012e-09,0.0,0.0,0.0,0.0,0,28.542851003294345,35875.883592771184,0.0
3,12.425689697265625,12.425689697265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.86591899994528,42906.372053066465,0.0
4,948.620849609375,12.321301460266113,0.0,9.86962067628383e-10,9.86962067628383e-10,10376.306640625,0.0,0.0,0.0,0,54.270863001875114,18868.31981950646,0.0
5,12.73532485961914,12.73532485961914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.72979400132317,15819.60850947661,0.0
6,12.451672554016113,12.451672554016113,0.0,1.5317306534257114e-08,1.5317306534257114e-08,0.0,0.0,0.0,0.0,0,125.71542899968335,8145.380468793366,0.0
7,12.843465805053711,12.843465805053711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,73.5408090040437,13924.241708351274,0.0
8,849.2821044921875,12.094889640808105,0.0,5.42429745564732e-09,5.42429745564732e-09,9504.2099609375,0.0,0.0,0.0,0,66.76642000093125,15337.05117011991,0.0
9,12.943286895751953,12.943286895751953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,119.50708299991675,8568.529783299231,0.0
10,12.29385757446289,12.29385757446289,0.0,8.267444506770971e-10,8.267444506770971e-10,0.0,0.0,0.0,0.0,0,58.76815399824409,17424.40301988379,0.0
11,12.382667541503906,12.382667541503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39.93244499724824,25643.30834414382,0.0
12,710.6253662109375,12.882256507873535,0.0,3.129595471662583e-09,3.129595471662583e-09,8425.5771484375,0.0,0.0,0.0,0,43.03418500057887,23795.03643408666,0.0
13,12.123058319091797,12.123058319091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.958699003444053,37984.02882383831,0.0
14,12.042298316955566,12.042298316955566,0.0,4.5774608992132926e-08,4.5774608992132926e-08,0.0,0.0,0.0,0.0,0,48.36449499998707,21172.55643835987,0.0
15,12.020013809204102,12.020013809204102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,41.53200399741763,24655.68480788141,0.0
16,740.4920654296875,11.967841148376465,0.0,1.1354674978036883e-09,1.1354674978036883e-09,8234.0927734375,0.0,0.0,0.0,0,52.39001600421034,19545.70886020928,0.0
17,11.874407768249512,11.874407768249512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47.928981999575626,21364.94365787003,0.0
