dataset,model_id,model_mean_gpu_hours,shared_budget_gpu_hours
toy,M0,4.8424509999070626e-05,4.8424509999070626e-05
toy,M1,6.169656111119871e-05,4.8424509999070626e-05
toy,M2,6.910077083577764e-05,4.8424509999070626e-05
