dataset,model_id,sigma_bin,metric_name,scale_delta,cycle_len,value_mean,value_std,num_points
toy,M1,0,r_cycle_total,,,1.5445712804794312,0.0,1
toy,M1,0,r_loop_multi,0.02,,1.611621280872555e-09,0.0,1
toy,M1,0,r_loop_multi,0.05,,4.6420204569130874e-08,0.0,1
toy,M1,0,r_loop_multi,0.1,,7.821727194823325e-07,0.0,1
toy,M1,0,r_loop_multi_total,,,2.767348519228108e-07,0.0,1
toy,M1,0,r_sym,,,-0.005532135721296072,0.0,1
toy,M1,1,r_cycle,,3,3.198972702026367,0.0,1
toy,M1,1,r_cycle,,4,6.285069942474365,0.0,1
toy,M1,1,r_cycle,,5,3.8688364028930664,0.0,1
toy,M1,1,r_cycle_total,,,4.4509596824646,0.0,1
toy,M1,1,r_loop_multi,0.02,,4.570545608650889e-10,0.0,1
toy,M1,1,r_loop_multi,0.05,,1.5117608498371737e-08,0.0,1
toy,M1,1,r_loop_multi,0.1,,2.0210876527926303e-07,0.0,1
toy,M1,1,r_loop_multi_total,,,7.256114287201854e-08,0.0,1
toy,M1,1,r_sym,,,-0.07207717001438141,0.0,1
toy,M1,2,r_cycle,,3,1.8906314373016357,0.0,1
toy,M1,2,r_cycle,,4,4.357388973236084,0.0,1
toy,M1,2,r_cycle,,5,7.978334426879883,0.0,1
toy,M1,2,r_cycle_total,,,4.7421183586120605,0.0,1
toy,M1,2,r_loop_multi,0.02,,1.0119708543365746e-10,0.0,1
toy,M1,2,r_loop_multi,0.05,,3.338519904971804e-09,0.0,1
toy,M1,2,r_loop_multi,0.1,,5.863278573770003e-08,0.0,1
toy,M1,2,r_loop_multi_total,,,2.0690833935077535e-08,0.0,1
toy,M1,2,r_sym,,,-0.0011811447329819202,0.0,1
toy,M1,3,r_cycle,,3,1.308187484741211,0.0,1
toy,M1,3,r_cycle,,4,2.143173933029175,0.0,1
toy,M1,3,r_cycle,,5,3.459507465362549,0.0,1
toy,M1,3,r_cycle_total,,,2.3036229610443115,0.0,1
toy,M1,3,r_loop_multi,0.02,,2.6432696309530712e-11,0.0,1
toy,M1,3,r_loop_multi,0.05,,1.0989816834339194e-09,0.0,1
toy,M1,3,r_loop_multi,0.1,,1.6873380914717018e-08,0.0,1
toy,M1,3,r_loop_multi_total,,,5.999598595707312e-09,0.0,1
toy,M1,3,r_sym,,,0.002514152554795146,0.0,1
toy,M1,4,r_cycle,,3,1.7958918809890747,0.0,1
toy,M1,4,r_cycle,,4,2.2821733951568604,0.0,1
toy,M1,4,r_cycle,,5,2.25665283203125,0.0,1
toy,M1,4,r_cycle_total,,,2.111572742462158,0.0,1
toy,M1,4,r_loop_multi,0.02,,6.27839750674819e-12,0.0,1
toy,M1,4,r_loop_multi,0.05,,2.0633800223990306e-10,0.0,1
toy,M1,4,r_loop_multi,0.1,,2.9631799236540246e-09,0.0,1
toy,M1,4,r_loop_multi_total,,,1.0585987642031114e-09,0.0,1
toy,M1,4,r_sym,,,5.566987965721637e-05,0.0,1
toy,M1,5,r_cycle,,3,1.7543164491653442,0.0,1
toy,M1,5,r_cycle,,4,3.0665974617004395,0.0,1
toy,M1,5,r_cycle,,5,4.833139419555664,0.0,1
toy,M1,5,r_cycle_total,,,3.218017578125,0.0,1
toy,M1,5,r_loop_multi,0.02,,6.503658831098769e-13,0.0,1
toy,M1,5,r_loop_multi,0.05,,2.4603943882262058e-11,0.0,1
toy,M1,5,r_loop_multi,0.1,,3.384259539274126e-10,0.0,1
toy,M1,5,r_loop_multi_total,,,1.2122675085990409e-10,0.0,1
toy,M1,5,r_sym,,,0.0005186720518395305,0.0,1
toy,M1,6,r_cycle,,3,0.5150114297866821,0.0,1
toy,M1,6,r_cycle,,4,1.05573308467865,0.0,1
toy,M1,6,r_cycle,,5,1.1875873804092407,0.0,1
toy,M1,6,r_cycle_total,,,0.9194439053535461,0.0,1
toy,M1,6,r_loop_multi,0.02,,3.251224498499773e-14,0.0,1
toy,M1,6,r_loop_multi,0.05,,1.1487404994250938e-12,0.0,1
toy,M1,6,r_loop_multi,0.1,,1.6264578225899662e-11,0.0,1
toy,M1,6,r_loop_multi_total,,,5.815277079324055e-12,0.0,1
toy,M1,6,r_sym,,,0.0001336915447609499,0.0,1
toy,M1,7,r_cycle,,3,0.10756547749042511,0.0,1
toy,M1,7,r_cycle,,4,0.2776191234588623,0.0,1
toy,M1,7,r_cycle,,5,0.12760895490646362,0.0,1
toy,M1,7,r_cycle_total,,,0.17093117535114288,0.0,1
toy,M1,7,r_loop_multi,0.02,,5.262221830970495e-16,0.0,1
toy,M1,7,r_loop_multi,0.05,,1.448304705873628e-14,0.0,1
toy,M1,7,r_loop_multi,0.1,,3.73135441815442e-13,0.0,1
toy,M1,7,r_loop_multi_total,,,1.2938157218766316e-13,0.0,1
toy,M1,7,r_sym,,,2.6521714971750043e-05,0.0,1
toy,M2,-1,exact_jacobian_asymmetry_2d,,,1.9836049582963026e-21,0.0,1
toy,M2,-1,pathvar,,,2.852133134702284e-13,0.0,1
toy,M2,0,r_cycle,,3,1.6114226752961258e-07,0.0,1
toy,M2,0,r_cycle,,4,3.692513246278395e-07,0.0,1
toy,M2,0,r_cycle,,5,7.007446924944816e-07,0.0,1
toy,M2,0,r_cycle_total,,,4.1037944242816593e-07,0.0,1
toy,M2,0,r_loop_multi,0.02,,6.75765322594231e-21,0.0,1
toy,M2,0,r_loop_multi,0.05,,9.934484651695553e-19,0.0,1
toy,M2,0,r_loop_multi,0.1,,5.575233062809869e-17,0.0,1
toy,M2,0,r_loop_multi_total,,,1.891751307560811e-17,0.0,1
toy,M2,0,r_sym,,,5.895003235556473e-12,0.0,1
toy,M2,1,r_cycle,,3,2.773296046143514e-07,0.0,1
toy,M2,1,r_cycle,,4,3.6711088569063577e-07,0.0,1
toy,M2,1,r_cycle,,5,6.121138085291022e-07,0.0,1
toy,M2,1,r_cycle_total,,,4.188514139968902e-07,0.0,1
toy,M2,1,r_loop_multi,0.02,,6.2805675180263314e-21,0.0,1
toy,M2,1,r_loop_multi,0.05,,8.7111455302998e-19,0.0,1
toy,M2,1,r_loop_multi,0.1,,8.304529390562875e-17,0.0,1
toy,M2,1,r_loop_multi_total,,,2.797422923002873e-17,0.0,1
toy,M2,1,r_sym,,,6.02751485875852e-12,0.0,1
toy,M2,2,r_cycle,,3,2.2900367468992044e-07,0.0,1
toy,M2,2,r_cycle,,4,4.3168768115720013e-07,0.0,1
