step,loss_total,loss_dsm,loss_sym,loss_loop,loss_loop_multi,loss_cycle,loss_match,grad_norm_mean,grad_norm_max,nan_count,step_time_ms,imgs_per_sec,vram_peak_mb
1,3.411094903945923,3.411094903945923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42.03637099999469,24359.85732450904,0.0
50,3.1530847549438477,3.1530847549438477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,29.794866000884213,34368.337148071456,0.0
100,2.898744583129883,2.898744583129883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,33.534402995428536,30535.80527852526,0.0
150,2.559358596801758,2.559358596801758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28.250021998246666,36247.75938452559,0.0
200,2.700479507446289,2.700479507446289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27.9001020026044,36702.37477642241,0.0
250,2.702270269393921,2.702270269393921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30.014099000254646,34117.29933959744,0.0
300,2.383610963821411,2.383610963821411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,29.673894998268224,34508.4458935964,0.0
