step,loss_total,loss_dsm,loss_sym,loss_loop,loss_loop_multi,loss_cycle,loss_match,grad_norm_mean,grad_norm_max,nan_count,step_time_ms,imgs_per_sec,vram_peak_mb
1,12.536153793334961,12.536153793334961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36.26192099909531,28238.989325070437,0.0
50,10.301280975341797,10.301280975341797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.277226002595853,42179.44833938228,0.0
100,7.110692024230957,7.110692024230957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.059042002481874,53727.7791751891,0.0
150,6.675956726074219,6.675956726074219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.691813006531447,45126.40747150786,0.0
200,6.200415134429932,6.200415134429932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21.027612005127594,48697.874002539946,0.0
250,4.385079383850098,4.385079383850098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.536827000498306,43506.28910083422,0.0
300,2.6529228687286377,2.6529228687286377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.245264998578932,39016.561656186175,0.0
