dataset,model_id,model_mean_gpu_hours,shared_budget_gpu_hours
toy,M0,4.89023308344056e-05,4.89023308344056e-05
toy,M1,6.58718522269434e-05,4.89023308344056e-05
toy,M2,6.546557694592694e-05,4.89023308344056e-05
