dataset,model_id,sigma_bin,metric_name,scale_delta,cycle_len,value_mean,value_std,num_points
toy,M1,0,r_cycle_total,,,1.398148536682129,0.0,1
toy,M1,0,r_loop_multi,0.02,,2.3043686958601484e-09,0.0,1
toy,M1,0,r_loop_multi,0.05,,6.351347536792673e-08,0.0,1
toy,M1,0,r_loop_multi,0.1,,7.29306293578702e-07,0.0,1
toy,M1,0,r_loop_multi_total,,,2.6504139327698795e-07,0.0,1
toy,M1,0,r_sym,,,0.016960393637418747,0.0,1
toy,M1,1,r_cycle,,3,0.9676885008811951,0.0,1
toy,M1,1,r_cycle,,4,1.1387708187103271,0.0,1
toy,M1,1,r_cycle,,5,2.7865471839904785,0.0,1
toy,M1,1,r_cycle_total,,,1.6310020685195923,0.0,1
toy,M1,1,r_loop_multi,0.02,,3.079236310377098e-10,0.0,1
toy,M1,1,r_loop_multi,0.05,,1.3803431286874002e-08,0.0,1
toy,M1,1,r_loop_multi,0.1,,2.0963821611985622e-07,0.0,1
toy,M1,1,r_loop_multi_total,,,7.458319117858991e-08,0.0,1
toy,M1,1,r_sym,,,0.0041329641826450825,0.0,1
toy,M1,2,r_cycle,,3,3.0219905376434326,0.0,1
toy,M1,2,r_cycle,,4,5.055423736572266,0.0,1
toy,M1,2,r_cycle,,5,9.941292762756348,0.0,1
toy,M1,2,r_cycle_total,,,6.006235599517822,0.0,1
toy,M1,2,r_loop_multi,0.02,,9.195249422999652e-11,0.0,1
toy,M1,2,r_loop_multi,0.05,,3.664531122993253e-09,0.0,1
toy,M1,2,r_loop_multi,0.1,,5.387943957657626e-08,0.0,1
toy,M1,2,r_loop_multi_total,,,1.921197423371268e-08,0.0,1
toy,M1,2,r_sym,,,0.001149818766862154,0.0,1
toy,M1,3,r_cycle,,3,2.073493480682373,0.0,1
toy,M1,3,r_cycle,,4,3.734482765197754,0.0,1
toy,M1,3,r_cycle,,5,5.216720104217529,0.0,1
toy,M1,3,r_cycle_total,,,3.674898862838745,0.0,1
toy,M1,3,r_loop_multi,0.02,,2.317358284431581e-11,0.0,1
toy,M1,3,r_loop_multi,0.05,,9.001681622322621e-10,0.0,1
toy,M1,3,r_loop_multi,0.1,,1.4808569481772338e-08,0.0,1
toy,M1,3,r_loop_multi_total,,,5.243970591095604e-09,0.0,1
toy,M1,3,r_sym,,,0.0002739646297413856,0.0,1
toy,M1,4,r_cycle,,3,0.7959845662117004,0.0,1
toy,M1,4,r_cycle,,4,1.4411463737487793,0.0,1
toy,M1,4,r_cycle,,5,1.7180256843566895,0.0,1
toy,M1,4,r_cycle_total,,,1.3183854818344116,0.0,1
toy,M1,4,r_loop_multi,0.02,,3.5177433882482845e-12,0.0,1
toy,M1,4,r_loop_multi,0.05,,1.6309117945034757e-10,0.0,1
toy,M1,4,r_loop_multi,0.1,,2.680741850724644e-09,0.0,1
toy,M1,4,r_loop_multi_total,,,9.491168961872631e-10,0.0,1
toy,M1,4,r_sym,,,5.035557842347771e-05,0.0,1
toy,M1,5,r_cycle,,3,1.1892058849334717,0.0,1
toy,M1,5,r_cycle,,4,1.4810229539871216,0.0,1
toy,M1,5,r_cycle,,5,4.731334686279297,0.0,1
toy,M1,5,r_cycle_total,,,2.4671878814697266,0.0,1
toy,M1,5,r_loop_multi,0.02,,4.989671328024803e-13,0.0,1
toy,M1,5,r_loop_multi,0.05,,1.8180493568942246e-11,0.0,1
toy,M1,5,r_loop_multi,0.1,,3.0162067288230787e-10,0.0,1
toy,M1,5,r_loop_multi_total,,,1.0676670658682497e-10,0.0,1
toy,M1,5,r_sym,,,6.202728400239721e-06,0.0,1
toy,M1,6,r_cycle,,3,0.257076233625412,0.0,1
toy,M1,6,r_cycle,,4,0.5212000012397766,0.0,1
toy,M1,6,r_cycle,,5,0.746204137802124,0.0,1
toy,M1,6,r_cycle_total,,,0.5081601142883301,0.0,1
toy,M1,6,r_loop_multi,0.02,,1.9227815615196174e-14,0.0,1
toy,M1,6,r_loop_multi,0.05,,9.788593546833368e-13,0.0,1
toy,M1,6,r_loop_multi,0.1,,1.1309913942880723e-11,0.0,1
toy,M1,6,r_loop_multi_total,,,4.102666990857262e-12,0.0,1
toy,M1,6,r_sym,,,2.909589795763168e-07,0.0,1
toy,M1,7,r_cycle,,3,0.05575750023126602,0.0,1
toy,M1,7,r_cycle,,4,0.1107444018125534,0.0,1
toy,M1,7,r_cycle,,5,0.09291013330221176,0.0,1
toy,M1,7,r_cycle_total,,,0.08647068589925766,0.0,1
toy,M1,7,r_loop_multi,0.02,,4.1358284179866616e-16,0.0,1
toy,M1,7,r_loop_multi,0.05,,1.5503279608979244e-14,0.0,1
toy,M1,7,r_loop_multi,0.1,,2.0412470813028355e-13,0.0,1
toy,M1,7,r_loop_multi_total,,,7.334719176422741e-14,0.0,1
toy,M1,7,r_sym,,,6.893253523543308e-09,0.0,1
toy,M2,-1,exact_jacobian_asymmetry_2d,,,3.482264942725736e-20,0.0,1
toy,M2,-1,pathvar,,,3.823834044541785e-12,0.0,1
toy,M2,0,r_cycle,,3,1.6044440087625844e-07,0.0,1
toy,M2,0,r_cycle,,4,2.772207778889424e-07,0.0,1
toy,M2,0,r_cycle,,5,5.326503469404997e-07,0.0,1
toy,M2,0,r_cycle_total,,,3.2343851330551843e-07,0.0,1
toy,M2,0,r_loop_multi,0.02,,6.286887290997336e-21,0.0,1
toy,M2,0,r_loop_multi,0.05,,6.181939994781764e-19,0.0,1
toy,M2,0,r_loop_multi,0.1,,3.484887767012019e-17,0.0,1
toy,M2,0,r_loop_multi_total,,,1.1824453385036312e-17,0.0,1
toy,M2,0,r_sym,,,9.814262250107397e-12,0.0,1
toy,M2,1,r_cycle,,3,1.5732189240225125e-07,0.0,1
toy,M2,1,r_cycle,,4,2.5737116970958596e-07,0.0,1
toy,M2,1,r_cycle,,5,3.0422228292081854e-07,0.0,1
toy,M2,1,r_cycle_total,,,2.3963843887031544e-07,0.0,1
toy,M2,1,r_loop_multi,0.02,,7.033072462076574e-21,0.0,1
toy,M2,1,r_loop_multi,0.05,,4.3177282181498336e-19,0.0,1
toy,M2,1,r_loop_multi,0.1,,3.575224161708935e-17,0.0,1
toy,M2,1,r_loop_multi_total,,,1.2063682289992773e-17,0.0,1
toy,M2,1,r_sym,,,9.621947336113656e-12,0.0,1
toy,M2,2,r_cycle,,3,2.4168181766981434e-07,0.0,1
