step,loss_total,loss_dsm,loss_sym,loss_loop,loss_loop_multi,loss_cycle,loss_match,grad_norm_mean,grad_norm_max,nan_count,step_time_ms,imgs_per_sec,vram_peak_mb
1,12.536153793334961,12.536153793334961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35.35718000057386,28961.585736854016,0.0
50,10.301280975341797,10.301280975341797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18.948334000015166,54041.69041981108,0.0
100,7.110692024230957,7.110692024230957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15.914178999082651,64345.13524442744,0.0
150,6.675956726074219,6.675956726074219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.088293997512665,46359.397430843295,0.0
200,6.200415134429932,6.200415134429932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18.666306001250632,54858.20279231427,0.0
250,4.385079383850098,4.385079383850098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.862817997927777,41185.99911262459,0.0
300,2.6529228687286377,2.6529228687286377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38.491125000291504,26603.535230322443,0.0
