step,loss_total,loss_dsm,loss_sym,loss_loop,loss_loop_multi,loss_cycle,loss_match,grad_norm_mean,grad_norm_max,nan_count,step_time_ms,imgs_per_sec,vram_peak_mb
1,12.536153793334961,12.536153793334961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,63.19459599762922,16203.917183653108,0.0
2,11.751131057739258,11.751131057739258,0.0,8.323950417832293e-09,8.323950417832293e-09,0.0,0.0,0.0,0.0,0,128.38457500038203,7976.036061940875,0.0
3,12.58303165435791,12.58303165435791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,86.6798490023939,11813.587722928769,0.0
4,12.147500991821289,12.144380569458008,0.0,4.677890075299729e-09,4.677890075299729e-09,0.035032838582992554,0.0,0.0,0.0,0,175.38405800587498,5838.615046560835,0.0
5,12.734457015991211,12.734457015991211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34.46846400038339,29708.31540357035,0.0
6,12.094686508178711,12.094686508178711,0.0,8.08493805237731e-09,8.08493805237731e-09,0.0,0.0,0.0,0.0,0,179.13549399963813,5716.343406528181,0.0
7,12.123665809631348,12.123665809631348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54.922570001508575,18644.429784911255,0.0
8,12.862309455871582,12.85904312133789,0.0,7.026942139276571e-09,7.026942139276571e-09,0.039911702275276184,0.0,0.0,0.0,0,241.74525400303537,4235.863923049934,0.0
9,12.684859275817871,12.684859275817871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47.59389500395628,21515.36452132945,0.0
10,12.072511672973633,12.072511672973633,0.0,9.538337231163041e-09,9.538337231163041e-09,0.0,0.0,0.0,0.0,0,138.4063290024642,7398.505598553724,0.0
11,12.270073890686035,12.270073890686035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,115.1115859975107,8895.716196822656,0.0
12,12.687575340270996,12.68194580078125,0.0,6.577259625828447e-09,6.577259625828447e-09,0.06702601164579391,0.0,0.0,0.0,0,77.11443700100062,13278.966167991512,0.0
13,12.69618034362793,12.69618034362793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30.343390004418325,33747.05330719127,0.0
14,12.195611953735352,12.195611953735352,0.0,8.669556628149166e-09,8.669556628149166e-09,0.0,0.0,0.0,0.0,0,89.3385580056929,11462.016209560354,0.0
15,12.31319808959961,12.31319808959961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54.198949997953605,18893.35494578148,0.0
16,11.512415885925293,11.508283615112305,0.0,7.389017397940734e-09,7.389017397940734e-09,0.044631410390138626,0.0,0.0,0.0,0,91.64167800190626,11173.95515148358,0.0
17,11.877874374389648,11.877874374389648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,71.20730299357092,14380.547457224347,0.0
18,12.324471473693848,12.324471473693848,0.0,1.3893306949341877e-08,1.3893306949341877e-08,0.0,0.0,0.0,0.0,0,63.98029499541735,16004.927768359696,0.0
19,12.580227851867676,12.580227851867676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,96.90303699608194,10567.264264807336,0.0
20,12.106276512145996,12.105156898498535,0.0,1.6497908816859308e-08,1.6497908816859308e-08,0.012516387738287449,0.0,0.0,0.0,0,151.79850900312886,6745.784307926854,0.0
21,12.412283897399902,12.412283897399902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,61.23843200475676,16721.52546166531,0.0
22,12.159303665161133,12.159303665161133,0.0,1.6528630908396735e-08,1.6528630908396735e-08,0.0,0.0,0.0,0.0,0,94.44994899968151,10841.72104744549,0.0
23,12.820758819580078,12.820758819580078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44.58468099619495,22967.53003766905,0.0
24,12.063136100769043,12.06070613861084,0.0,3.230777778640004e-08,3.230777778640004e-08,0.027530347928404808,0.0,0.0,0.0,0,146.180985000683,7005.015050317355,0.0
25,12.171481132507324,12.171481132507324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35.80945800058544,28595.797232766243,0.0
26,11.800920486450195,11.800920486450195,0.0,5.112326917355858e-08,5.112326917355858e-08,0.0,0.0,0.0,0.0,0,168.46894799527945,6078.271468927869,0.0
27,12.144659042358398,12.144659042358398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.442411995958537,38725.66542554848,0.0
28,12.075203895568848,12.070916175842285,0.0,3.015129479422285e-08,3.015129479422285e-08,0.049895990639925,0.0,0.0,0.0,0,132.3378410015721,7737.771692888926,0.0
29,11.74534797668457,11.74534797668457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.82112000207417,22347.773252894014,0.0
30,11.5432710647583,11.5432710647583,0.0,4.68422456378903e-08,4.68422456378903e-08,0.0,0.0,0.0,0.0,0,87.64454700576607,11683.556307646062,0.0
31,12.350580215454102,12.350580215454102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,57.35554800048703,17853.547489273482,0.0
32,11.274389266967773,11.27338695526123,0.0,5.0871179269051936e-08,5.0871179269051936e-08,0.011156726628541946,0.0,0.0,0.0,0,110.32356600480853,9281.788443598427,0.0
33,11.543966293334961,11.543966293334961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46.36606499843765,22085.11764012117,0.0
34,11.831430435180664,11.831430435180664,0.0,4.482903648295178e-08,4.482903648295178e-08,0.0,0.0,0.0,0.0,0,73.61403999675531,13910.389920796833,0.0
35,11.854588508605957,11.854588508605957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,111.48570200020913,9185.03432842069,0.0
36,11.9404935836792,11.936652183532715,0.0,6.665857910093109e-08,6.665857910093109e-08,0.045427288860082626,0.0,0.0,0.0,0,205.8038109971676,4975.612429325193,0.0
37,11.726909637451172,11.726909637451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54.440405998320784,18809.55847448282,0.0
