dataset,model_id,model_mean_gpu_hours,shared_budget_gpu_hours
toy,M0,4.808325167080814e-05,4.808325167080814e-05
toy,M1,6.545879444173705e-05,4.808325167080814e-05
toy,M2,6.144548833213371e-05,4.808325167080814e-05
