dataset,model_id,sigma_bin,metric_name,scale_delta,cycle_len,value_mean,value_std,num_points
toy,M1,-1,pathvar,,,7.227288847388991e-07,0.0,1
toy,M1,0,r_cycle,,3,0.8335206508636475,0.0,1
toy,M1,0,r_cycle,,4,1.0795611143112183,0.0,1
toy,M1,0,r_cycle,,5,2.382932186126709,0.0,1
toy,M1,0,r_cycle_total,,,1.4320045709609985,0.0,1
toy,M1,0,r_loop_multi,0.02,,1.548797978756511e-09,0.0,1
toy,M1,0,r_loop_multi,0.05,,3.9369854931692316e-08,0.0,1
toy,M1,0,r_loop_multi,0.1,,7.122217766664107e-07,0.0,1
toy,M1,0,r_loop_multi_total,,,2.510468277705513e-07,0.0,1
toy,M1,0,r_sym,,,0.014077813364565372,0.0,1
toy,M1,1,r_cycle,,3,1.1328017711639404,0.0,1
toy,M1,1,r_cycle,,4,1.0809612274169922,0.0,1
toy,M1,1,r_cycle,,5,1.906293272972107,0.0,1
toy,M1,1,r_cycle_total,,,1.37335205078125,0.0,1
toy,M1,1,r_loop_multi,0.02,,3.824076888481187e-10,0.0,1
toy,M1,1,r_loop_multi,0.05,,1.4923847047043637e-08,0.0,1
toy,M1,1,r_loop_multi,0.1,,2.1091229029934766e-07,0.0,1
toy,M1,1,r_loop_multi_total,,,7.540618440771141e-08,0.0,1
toy,M1,1,r_sym,,,0.004414444323629141,0.0,1
toy,M1,2,r_cycle,,3,0.666183352470398,0.0,1
toy,M1,2,r_cycle,,4,0.8873452544212341,0.0,1
toy,M1,2,r_cycle,,5,2.084829807281494,0.0,1
toy,M1,2,r_cycle_total,,,1.212786078453064,0.0,1
toy,M1,2,r_loop_multi,0.02,,9.764863223571396e-11,0.0,1
toy,M1,2,r_loop_multi,0.05,,3.5390437247428963e-09,0.0,1
toy,M1,2,r_loop_multi,0.1,,5.8665950319891635e-08,0.0,1
toy,M1,2,r_loop_multi_total,,,2.0767545905187035e-08,0.0,1
toy,M1,2,r_sym,,,0.0011985463788732886,0.0,1
toy,M1,3,r_cycle,,3,0.5411794185638428,0.0,1
