step,loss_total,loss_dsm,loss_sym,loss_loop,loss_loop_multi,loss_cycle,loss_match,grad_norm_mean,grad_norm_max,nan_count,step_time_ms,imgs_per_sec,vram_peak_mb
1,11.679502487182617,11.679502487182617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,233.6655850012903,4382.331270539244,0.0
2,31.719194412231445,12.224508285522461,0.0,0.0,0.0,0.0,97.47342681884766,0.0,0.0,0,107.57245300192153,9519.165654628221,0.0
3,11.337234497070312,11.337234497070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,137.11485900421394,7468.191321033481,0.0
4,34.16754913330078,10.774870872497559,0.0,0.0,0.0,1.458298629586352e-05,116.96338653564453,0.0,0.0,0,96.06892299780156,10659.014049979858,0.0
5,11.364870071411133,11.364870071411133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.24050700274529,22634.58276313883,0.0
6,29.03961181640625,11.435074806213379,0.0,0.0,0.0,0.0,88.02268981933594,0.0,0.0,0,65.04906099871732,15741.9643616407,0.0
7,11.171140670776367,11.171140670776367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,87.53557400632417,11698.101162003224,0.0
8,33.32176208496094,11.309694290161133,0.0,0.0,0.0,7.647254824405536e-05,110.06028747558594,0.0,0.0,0,60.77289999666391,16849.615536797024,0.0
9,12.021387100219727,12.021387100219727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,68.92444400000386,14856.848174211498,0.0
10,32.089412689208984,11.302671432495117,0.0,0.0,0.0,0.0,103.93370056152344,0.0,0.0,0,45.790156997099984,22362.884671150015,0.0
11,11.645719528198242,11.645719528198242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,66.54254399472848,15388.651207581148,0.0
12,28.042299270629883,11.802779197692871,0.0,0.0,0.0,0.0003147540264762938,81.19743347167969,0.0,0.0,0,104.025870001351,9843.705224351415,0.0
13,11.368185997009277,11.368185997009277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,51.69510700216051,19808.451116218865,0.0
14,26.903884887695312,11.206168174743652,0.0,0.0,0.0,0.0,78.48857879638672,0.0,0.0,0,55.464876000769436,18462.134486441377,0.0
15,11.821002006530762,11.821002006530762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48.57112900208449,21082.482969585777,0.0
16,27.00234603881836,11.368270874023438,0.0,0.0,0.0,0.000632898707408458,78.17005920410156,0.0,0.0,0,274.84598199953325,3725.7230123951344,0.0
17,11.488173484802246,11.488173484802246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44.757390998711344,22878.902839298273,0.0
18,26.860763549804688,11.220712661743164,0.0,0.0,0.0,0.0,78.20025634765625,0.0,0.0,0,160.64690700295614,6374.227920747687,0.0
19,11.513004302978516,11.513004302978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44.72217200236628,22896.920121541043,0.0
20,30.291488647460938,10.93079948425293,0.0,0.0,0.0,0.0006526742945425212,96.80311584472656,0.0,0.0,0,157.64131600008113,6495.759017892701,0.0
21,11.663159370422363,11.663159370422363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.98886899475474,22266.257518026643,0.0
22,26.408592224121094,11.595105171203613,0.0,0.0,0.0,0.0,74.06743621826172,0.0,0.0,0,204.89880300010554,4997.588980544081,0.0
23,11.254498481750488,11.254498481750488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,112.61705899960361,9092.760982184807,0.0
24,31.53133201599121,11.237556457519531,0.0,0.0,0.0,0.0013620300451293588,101.46820068359375,0.0,0.0,0,71.22742899809964,14376.4840933304,0.0
25,11.407097816467285,11.407097816467285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,82.64953399338992,12389.664533158732,0.0
26,24.796289443969727,11.581076622009277,0.0,0.0,0.0,0.0,66.07606506347656,0.0,0.0,0,121.64023299555993,8418.267334602835,0.0
27,11.546669960021973,11.546669960021973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,67.48765900556464,15173.144469503188,0.0
28,27.48153305053711,10.98115062713623,0.0,0.0,0.0,0.0013261273270472884,82.50125122070312,0.0,0.0,0,120.07126700336812,8528.268465521196,0.0
29,10.651350975036621,10.651350975036621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,91.92717899713898,11139.251864041966,0.0
30,24.44099235534668,10.504616737365723,0.0,0.0,0.0,0.0,69.68187713623047,0.0,0.0,0,141.41488000313984,7241.105037724913,0.0
31,11.253297805786133,11.253297805786133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,57.41281600057846,17835.73897489513,0.0
32,27.095516204833984,11.389178276062012,0.0,0.0,0.0,0.0024462584406137466,78.53046417236328,0.0,0.0,0,80.3281260014046,12747.714293522726,0.0
33,10.55920124053955,10.55920124053955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,70.97310799872503,14427.999968923375,0.0
34,25.089859008789062,11.915067672729492,0.0,0.0,0.0,0.0,65.87396240234375,0.0,0.0,0,66.37427100213245,15427.664734232658,0.0
35,11.632587432861328,11.632587432861328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,59.614660996885505,17176.982689769848,0.0
36,24.9940185546875,11.22239875793457,0.0,0.0,0.0,0.0030054759699851274,68.8565902709961,0.0,0.0,0,84.00404200074263,12189.88962448911,0.0
37,11.140320777893066,11.140320777893066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52.000677002070006,19692.05131616339,0.0
38,26.093555450439453,10.851105690002441,0.0,0.0,0.0,0.0,76.21224975585938,0.0,0.0,0,107.50270199787337,9525.341977174276,0.0
39,11.013862609863281,11.013862609863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58.756940001330804,17427.72853686402,0.0
40,25.656906127929688,11.094857215881348,0.0,0.0,0.0,0.0032340390607714653,72.8086166381836,0.0,0.0,0,117.88596699625487,8686.360438749522,0.0
41,9.558876991271973,9.558876991271973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,62.19304400292458,16464.863819044574,0.0
42,22.06692886352539,10.437176704406738,0.0,0.0,0.0,0.0,58.14875793457031,0.0,0.0,0,75.79416000226047,13510.27572532581,0.0
43,10.74093246459961,10.74093246459961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,57.713902002433315,17742.69221923041,0.0
44,24.944541931152344,10.883914947509766,0.0,0.0,0.0,0.004219472873955965,70.301025390625,0.0,0.0,0,90.21008799754782,11351.280358221526,0.0
45,10.899497985839844,10.899497985839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,77.45430799695896,13220.697808573857,0.0
46,24.172107696533203,11.154338836669922,0.0,0.0,0.0,0.0,65.08883666992188,0.0,0.0,0,74.78095500118798,13693.326061210808,0.0
47,10.21505069732666,10.21505069732666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52.66958699940005,19441.959930531906,0.0
48,22.688018798828125,10.868234634399414,0.0,0.0,0.0,0.006861105561256409,59.09548568725586,0.0,0.0,0,78.13239400275052,13105.959609582062,0.0
49,10.47459888458252,10.47459888458252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,121.47575699782465,8429.665517691217,0.0
50,20.63779640197754,10.876477241516113,0.0,0.0,0.0,0.0,48.80659484863281,0.0,0.0,0,87.27701900352258,11732.756362344026,0.0
51,10.862462997436523,10.862462997436523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.58613200002583,16901.55760396725,0.0
52,23.814067840576172,10.625164031982422,0.0,0.0,0.0,0.006101512815803289,65.94146728515625,0.0,0.0,0,81.24390799639514,12604.021953811425,0.0
53,10.19725227355957,10.19725227355957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,63.99448299634969,16001.379369818647,0.0
54,19.858718872070312,10.038142204284668,0.0,0.0,0.0,0.0,49.10287857055664,0.0,0.0,0,64.92904500191798,15771.062087387107,0.0
55,9.916139602661133,9.916139602661133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53.201358001388144,19247.62897919413,0.0
56,22.161691665649414,9.768863677978516,0.0,0.0,0.0,0.007427200675010681,61.96042251586914,0.0,0.0,0,120.81826099893078,8475.539968325336,0.0
57,10.150620460510254,10.150620460510254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,56.210986993392,18217.079164974963,0.0
58,19.99021339416504,10.349324226379395,0.0,0.0,0.0,0.0,48.204444885253906,0.0,0.0,0,60.15254200610798,17023.386973338907,0.0
59,9.64930248260498,9.64930248260498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64.45112700021127,15888.007668145869,0.0
60,19.907323837280273,9.80091381072998,0.0,0.0,0.0,0.009064577519893646,50.52751922607422,0.0,0.0,0,149.88177600025665,6832.051416299248,0.0
61,9.297168731689453,9.297168731689453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,62.93197500053793,16271.53764030522,0.0
62,21.698265075683594,9.206609725952148,0.0,0.0,0.0,0.0,62.458282470703125,0.0,0.0,0,261.00384700112045,3923.3138199514897,0.0
63,8.931709289550781,8.931709289550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,113.40956600179197,9029.220691875498,0.0
64,19.762704849243164,9.563069343566895,0.0,0.0,0.0,0.014524930156767368,50.990909576416016,0.0,0.0,0,121.96206500084372,8396.053313732562,0.0
65,9.283864974975586,9.283864974975586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,77.15529499546392,13271.934221237863,0.0
66,17.031387329101562,9.23950481414795,0.0,0.0,0.0,0.0,38.959415435791016,0.0,0.0,0,63.54249000287382,16115.201024600829,0.0
67,8.54468822479248,8.54468822479248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,120.48067899741,8499.288089354253,0.0
68,18.714752197265625,9.860355377197266,0.0,0.0,0.0,0.012300677597522736,44.265830993652344,0.0,0.0,0,112.67376100295223,9088.185136317314,0.0
69,8.99453067779541,8.99453067779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.40500599920051,16952.237369425195,0.0
70,15.708724975585938,8.655467987060547,0.0,0.0,0.0,0.0,35.26628112792969,0.0,0.0,0,48.765737999929115,20998.349291904255,0.0
71,8.249180793762207,8.249180793762207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,77.24320399574935,13256.829688943899,0.0
72,13.464266777038574,8.71345043182373,0.0,0.0,0.0,0.011680737137794495,23.74823760986328,0.0,0.0,0,92.94739000324626,11016.98498434691,0.0
73,8.175386428833008,8.175386428833008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58.388186000229325,17537.79437497815,0.0
74,11.798181533813477,8.059816360473633,0.0,0.0,0.0,0.0,18.69182586669922,0.0,0.0,0,99.98832499695709,10241.195659904924,0.0
75,8.427274703979492,8.427274703979492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,56.456327001797035,18137.913930663708,0.0
