step,loss_total,loss_dsm,loss_sym,loss_loop,loss_loop_multi,loss_cycle,loss_match,grad_norm_mean,grad_norm_max,nan_count,step_time_ms,imgs_per_sec,vram_peak_mb
1,3.0550384521484375,3.0550384521484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50.71661500551272,20190.621946845127,0.0
50,3.074984550476074,3.074984550476074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32.794471000670455,31224.775663527707,0.0
100,2.6482350826263428,2.6482350826263428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32.707509002648294,31307.795403101096,0.0
150,2.8272268772125244,2.8272268772125244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,29.375250000157394,34859.2777931937,0.0
200,2.7769715785980225,2.7769715785980225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,33.521826000651345,30547.261953453944,0.0
250,2.6874611377716064,2.6874611377716064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36.92311399936443,27733.305484949793,0.0
300,2.5933074951171875,2.5933074951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32.72398999979487,31292.027653303252,0.0
