step,loss_total,loss_dsm,loss_sym,loss_loop,loss_loop_multi,loss_cycle,loss_match,grad_norm_mean,grad_norm_max,nan_count,step_time_ms,imgs_per_sec,vram_peak_mb
1,12.536153793334961,12.536153793334961,3.8533556789843715e-07,0.0,0.0,0.0,0.0,0.0,0.0,0,46.61415800364921,21967.574742417008,0.0
50,10.559600830078125,10.559593200683594,3.721145913004875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,29.678924001927953,34502.598542099455,0.0
100,7.1566162109375,7.156639099121094,-0.00011367413389962167,0.0,0.0,0.0,0.0,0.0,0.0,0,29.615526997076813,34576.457143615015,0.0
150,7.104292869567871,7.104220390319824,0.00036228232784196734,0.0,0.0,0.0,0.0,0.0,0.0,0,31.144179993134458,32879.33733447901,0.0
200,6.253570079803467,6.253525733947754,0.00022164173424243927,0.0,0.0,0.0,0.0,0.0,0.0,0,32.767468997917604,31250.506411254282,0.0
250,5.006061553955078,5.005997180938721,0.00032088550506159663,0.0,0.0,0.0,0.0,0.0,0.0,0,36.47690899379086,28072.554069049722,0.0
300,2.852919340133667,2.8528528213500977,0.0003321131516713649,0.0,0.0,0.0,0.0,0.0,0.0,0,29.3544930027565,34883.92730556929,0.0
