step,loss_total,loss_dsm,loss_sym,loss_loop,loss_loop_multi,loss_cycle,loss_match,grad_norm_mean,grad_norm_max,nan_count,step_time_ms,imgs_per_sec,vram_peak_mb
1,3.411094903945923,3.411094903945923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47.38280600577127,21611.214833399183,0.0
50,3.1530847549438477,3.1530847549438477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35.01196500292281,29247.144509441736,0.0
100,2.898744583129883,2.898744583129883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35.32990899839206,28983.94105817268,0.0
150,2.559358596801758,2.559358596801758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32.66909300145926,31344.610637162776,0.0
200,2.700479507446289,2.700479507446289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27.71901300002355,36942.152305319454,0.0
250,2.702270269393921,2.702270269393921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30.07734399579931,34045.5593466968,0.0
300,2.383610963821411,2.383610963821411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27.485947000968736,37255.40182275362,0.0
